n_equipos_afectados coste
1029 51467
1016 77402
120 42646
1536 97106
650 49317
671 60055
679 66283
1566 91531
268 32162
66 33416
1443 87118
1140 52435
1021 79919
1181 58033
1007 74242
192 51477
271 56269
1024 70131
907 47443
1446 77106
1100 70297
562 55890
1073 61125
1837 98428
1198 66534
828 56229
371 49830
1389 71479
595 61206
242 44856
187 49021
565 64945
1238 89533
1739 97423
96 51976
1983 98883
1121 79005
1683 102198
512 56677
1890 99911
522 44120
727 52520
1628 94106
739 68292
1467 85118
1465 91327
439 53465
565 60555
1897 103579
1703 103985
574 63718
460 42060
1753 88152
186 32171
642 63340
1614 79558
500 71041
439 25333
817 50360
320 39318
953 79032
1714 87255
519 56679
884 75662
1950 83808
1429 86783
1439 82529
1271 71953
1276 87590
1593 57152
1135 76221
1676 85113
188 62756
546 70477
739 72896
1787 88260
1351 87692
1878 113672
1589 87975
989 73653
129 42057
1151 70780
750 73069
1978 89654
192 41453
509 54461
93 55268
58 33283
1018 64275
9 32212
550 74185
873 54272
1634 90802
818 59128
335 52552
582 58277
76 44597
173 20872
62 41270
1293 90300
